CODLINHA,NOMELINHA
823,AUGUSTA
815,TUIUTI BARIGUI
762,V. ROSINHA
594,MENONITAS
365,JD.SOCIAL/BATEL
549,MAD. BAIRRO NOVO
336,V. RENO
777,V. VELHA
652,V. VERDE
TSP,TUBO SAO PEDRO  
ARA,SISTEMA ARAUCARIA
816,C.SIQUEIRA/STA.FELICIDADE
TSQ,TUBO ST QUITERIA
619,STA. RITA / CIC
821,FERNÃO DIAS
875,BIGORRILHO
670,SÃO JORGE
924,STA.FEL/SCÂNDIDA
233,OLARIA
175,BOM RETIRO / PUC
050,INTERBAIRROS V
657,XAXIM/CAPÃO RASO
361,AUGUSTO STRESSER
609,MAD. CIC
370,RUA XV / BARIGUI
533,E.VERÍS/PANTANAL
641,LUIZ NICHELE
685,RIO BONITO/CIC
620,STA. CRUZ
522,MARINGÁ
321,TRINDADE
532,JD.PARANAENSE
322,CAMARGO
632,QUARTEL GENERAL
967,JÚLIO GRAF
870,SÃO BRAZ
244,JD. DO ARROIO
341,B.ALTO/STA.CA
861,TRAMONTINA
470,GUABIROTUBA
183,JD. CHAPARRAL
917,JD. IPÊ
213,SÃO JOÃO
512,ITAMARATI
166,V. NORI
718,PORTO BELO
646,POMPÉIA / JANAÍNA
216,CABRAL / PORTÃO
531,STA. INÊS
386,CAJURU
721,MARIO JORGE
972,JD. ITÁLIA
551,XAXIM/L. VERDE
624,V. SÃO PEDRO
545,TRABALHADOR
826,C.COMPRIDO/CIC
658,C.RASO/CAIUÁ
188,MAD. PILARZINHO / UBERABA
661,LINDÓIA
272,PAINEIRAS
170,BRACATINGA
623,PQ.INDUSTRIAL
309,MAD. CENTENÁRIO
222,V. ESPERANÇA
219,REFORÇO COLINA
712,JD.INDEPEND./CIC
865,JD. ESPLANADA
513,HAUER/BOQUEIRÃO
912,JOSÉ CULPI
TFA,TUBO FANNY
468,JD. CENTAURO
020,INTERBAIRR II H
889,MAD. SÃO BRÁZ
467,V. MACEDO
668,CASA DE CUSTÓDIA
828,C.COMP/C.RASO
176,NILO PEÇANHA
633,MARIA ANGÉLICA
629,ALTO BOQUEIRÃO
827,RIVIERA
663,V. CUBAS
211,COLINA VERDE
711,ITATIAIA
205,BARREIRINHA
713,STA. AMÉLIA
760,STA. QUITÉRIA
667,TERMINAL CIC
375,SAGRADO CORAÇÃO
547,BAIRRO NOVO C
642,GANCHINHO
OPC,OP. CONTIGENCIA
542,BAIRRO NOVO B
636,RIO NEGRO
628,CARBOMAFRA
561,GUILHERMINA
876,SAVÓIA
814,MOSSUNGUÊ
662,DOM ÁTICO
160,J.MERCES/GUANABA
374,HUGO LANGE
266,ESTRIBO AHÚ
655,JD. ORDEM
334,AGRÍCOLA
338,CENTENÁRIO/HAUER
000,OPER S/LINHA
666,NOVO MUNDO
643,UMBARÁ
150,C.MUSIC/V.ALEGRE
860,V. SANDRA
523,IGUAPE I
809,MAD. CAMPO COMPRIDO
779,V.VELHA / BURITI
168,RAPOSO TAVARES
466,ESTUDANTES
714,V. MARISA
635,LONDRINA
684,RIO BONITO
644,PINHEIRINHO/CIC
812,MONTANA
472,UBERABA
918,VENEZA
627,BOSCH
560,ALFERES POLI
323,V. AUTÓDROMO
681,DALAGASSA
380,DETRAN/V.MACHADO
280,N. SRA.DE NAZARÉ
521,NIVALDO BRAGA
519,MAD. S. FRANCISCO / IGUAPE
515,IGUAPE II
274,STA. GEMA
788,MAD. V. VELHA
214,TINGUI
625,GRAMADOS
612,PORTÃO / CIC
270,FERNANDO NORONHA
027,C.RASO/C.SIQUEIR
617,JD. LUDOVICA
639,FUTURAMA
171,PRIMAVERA
511,SÃO FRANCISCO
387,PALOTINOS
342,B.ALTO/BOA VISTA
002,C. CENTRO (AH)
229,MAD.PENHA/F.NORO
534,PARIGOT DE SOUZA
332,ACRÓPOLE
463,SOLITUDE
373,ALTO TARUMÃ
631,PIRATINI/BR476
690,V. JULIANA
665,V. REX
637,STA. JOANA
539,REFORÇO TERMINAL
638,PINHEIRINHO
X19,ESP.HASDRUBAL B.
010,INTERBAIRROS I H
MCC,C. CENTRO
